Prompt_ID,Input_Token_Length,Context_Size,Token_Index_k,Per_Token_Latency_ms
44555c7f-6d35-47b6-8df4-cededda8aad5,18,67,50,365.8209989999932
44555c7f-6d35-47b6-8df4-cededda8aad5,18,68,51,381.84091600010106
44555c7f-6d35-47b6-8df4-cededda8aad5,18,69,52,372.3631299999397
44555c7f-6d35-47b6-8df4-cededda8aad5,18,70,53,378.65651000004164
44555c7f-6d35-47b6-8df4-cededda8aad5,18,71,54,384.27474699994946
44555c7f-6d35-47b6-8df4-cededda8aad5,18,72,55,377.20653500002754
44555c7f-6d35-47b6-8df4-cededda8aad5,18,73,56,387.1548229999462
44555c7f-6d35-47b6-8df4-cededda8aad5,18,74,57,380.133497000088
44555c7f-6d35-47b6-8df4-cededda8aad5,18,75,58,379.9245229999997
44555c7f-6d35-47b6-8df4-cededda8aad5,18,76,59,380.69165799993243
44555c7f-6d35-47b6-8df4-cededda8aad5,18,77,60,383.2275990000653
44555c7f-6d35-47b6-8df4-cededda8aad5,18,78,61,385.77255999996396
44555c7f-6d35-47b6-8df4-cededda8aad5,18,79,62,391.2248679999948
44555c7f-6d35-47b6-8df4-cededda8aad5,18,80,63,385.2834189999612
44555c7f-6d35-47b6-8df4-cededda8aad5,18,81,64,387.60944500006644
44555c7f-6d35-47b6-8df4-cededda8aad5,18,82,65,387.76669899993976
44555c7f-6d35-47b6-8df4-cededda8aad5,18,83,66,389.88241700008075
44555c7f-6d35-47b6-8df4-cededda8aad5,18,84,67,456.82577499997024
44555c7f-6d35-47b6-8df4-cededda8aad5,18,85,68,432.70581900003435
44555c7f-6d35-47b6-8df4-cededda8aad5,18,86,69,426.56141099996603
44555c7f-6d35-47b6-8df4-cededda8aad5,18,87,70,462.3926350000147
44555c7f-6d35-47b6-8df4-cededda8aad5,18,88,71,461.4044259999446
44555c7f-6d35-47b6-8df4-cededda8aad5,18,89,72,398.098975000039
44555c7f-6d35-47b6-8df4-cededda8aad5,18,90,73,394.997807999971
44555c7f-6d35-47b6-8df4-cededda8aad5,18,91,74,389.8014210000156
44555c7f-6d35-47b6-8df4-cededda8aad5,18,92,75,406.3924219999535
